,Date,Text,Positive,Negative,Neutral,Compound
0,Sun Dec 03 04:33:04 +0000 2017,Scarlet fever makes a dangerous comeback https://t.co/nrTQcKlQDi https://t.co/FnFgTA8Yrh,0.0,0.341,0.659,-0.4767
1,Sun Dec 03 04:18:07 +0000 2017,"NBC News chief says network is investigating Matt Lauer's ""appalling behavior"" https://t.co/uuork1zCGd https://t.co/6McidLP8re",0.0,0.172,0.828,-0.3612
2,Sun Dec 03 04:10:04 +0000 2017,"Opossum breaks into Florida liquor store, gets drunk https://t.co/Y7AQte0pMM https://t.co/ltxcoQFkK3",0.0,0.211,0.789,-0.34
3,Sun Dec 03 04:03:05 +0000 2017,Massachusetts Senate president backs probe of husband's alleged misconduct https://t.co/4jGPrFJwA3 https://t.co/sUo1jbubIv,0.0,0.107,0.893,-0.0516
4,Sun Dec 03 03:48:04 +0000 2017,South Carolina State basketball player Tyvoris Solomon collapses during game https://t.co/27If0X5eFw https://t.co/HELfqD1J06,0.0,0.167,0.833,-0.296
5,Sun Dec 03 03:42:05 +0000 2017,Metropolitan Opera to investigate longtime conductor after sexual misconduct allegations https://t.co/yUkUmGQRrs https://t.co/9jEcjlZhm7,0.0,0.0,1.0,0.0
6,Sun Dec 03 03:33:04 +0000 2017,227 pounds of contraband bologna seized at U.S.-Mexico border https://t.co/EB7cxMPSPx https://t.co/1jiVT1qXw6,0.0,0.0,1.0,0.0
7,Sun Dec 03 03:22:06 +0000 2017,Federal authorities release arrest warrant for Jose Ines Garcia Zarate after San Francisco pier shooting verdict… https://t.co/1z1UFL50YG,0.0,0.13,0.87,-0.34
8,Sun Dec 03 03:10:06 +0000 2017,Thousands protest in Utah against Trump's monument reduction plan https://t.co/xRrC8sonTA https://t.co/Qfp2IzNXSR,0.0,0.167,0.833,-0.25
9,Sun Dec 03 03:03:05 +0000 2017,Aspiring NYC model found slain in Jamaica https://t.co/iii4clU0wT https://t.co/wO11iijyrQ,0.0,0.0,1.0,0.0
10,Sun Dec 03 02:48:05 +0000 2017,"Family of Florida runaway says they ""wonder"" if teen was leading secret life https://t.co/wDO6LG0Eq6 https://t.co/vJekbGlrwn",0.0,0.0,1.0,0.0
11,Sun Dec 03 02:33:06 +0000 2017,First baby born from a uterus transplant in the U.S. delivered in Texas https://t.co/xSr9B9ePPi https://t.co/6UJqectyqE,0.0,0.0,1.0,0.0
12,Sun Dec 03 02:22:06 +0000 2017,Tax reform bill: What's in the final version passed by the Senate? https://t.co/S2MxD74EPz https://t.co/kLFbf00qx2,0.0,0.0,1.0,0.0
13,Sun Dec 03 02:10:06 +0000 2017,Authorities believe they found body of missing 3-year-old girl https://t.co/bjQmtLIZEq https://t.co/6DbQAUuQns,0.0,0.18,0.82,-0.296
14,Sun Dec 03 02:03:04 +0000 2017,"Cops: 7-year-old girl finds mom stabbed to death, tells school counselor https://t.co/c6uoQpnAqc https://t.co/HHTLCKFXfO",0.0,0.382,0.618,-0.7783
15,Sun Dec 03 01:33:05 +0000 2017,"Jesse Ventura and estate of ""American Sniper"" author Chris Kyle agree to dismiss case https://t.co/PsE0JBMogD https://t.co/SgKfxWhb5l",0.143,0.0,0.857,0.3612
16,Sun Dec 03 01:18:08 +0000 2017,"Missing Florida teenager, who police said was traveling north with a 27-year-old high school soccer coach, has been… https://t.co/rU78Cv76GL",0.0,0.115,0.885,-0.296
17,Sun Dec 03 01:16:05 +0000 2017,Christmas tree shortage's roots go back to 2008 financial crisis https://t.co/MFDqXtbw4b https://t.co/udSqcng9Ig,0.0,0.272,0.728,-0.6249
18,Sun Dec 03 01:10:05 +0000 2017,Some New Yorkers warily eye artwork display of Guantanamo detainees https://t.co/XuLG81rrqV https://t.co/BpdQBD3xuX,0.0,0.0,1.0,0.0
19,Sun Dec 03 01:03:06 +0000 2017,"Ed Sheeran and Beyoncé drop ""Perfect Duet"" https://t.co/cgSgHRdZ4s https://t.co/MNmB0o4urk",0.289,0.164,0.547,0.3818
20,Sun Dec 03 04:33:04 +0000 2017,Scarlet fever makes a dangerous comeback https://t.co/nrTQcKlQDi https://t.co/FnFgTA8Yrh,0.0,0.341,0.659,-0.4767
21,Sun Dec 03 04:18:07 +0000 2017,"NBC News chief says network is investigating Matt Lauer's ""appalling behavior"" https://t.co/uuork1zCGd https://t.co/6McidLP8re",0.0,0.172,0.828,-0.3612
22,Sun Dec 03 04:10:04 +0000 2017,"Opossum breaks into Florida liquor store, gets drunk https://t.co/Y7AQte0pMM https://t.co/ltxcoQFkK3",0.0,0.211,0.789,-0.34
23,Sun Dec 03 04:03:05 +0000 2017,Massachusetts Senate president backs probe of husband's alleged misconduct https://t.co/4jGPrFJwA3 https://t.co/sUo1jbubIv,0.0,0.107,0.893,-0.0516
24,Sun Dec 03 03:48:04 +0000 2017,South Carolina State basketball player Tyvoris Solomon collapses during game https://t.co/27If0X5eFw https://t.co/HELfqD1J06,0.0,0.167,0.833,-0.296
25,Sun Dec 03 03:42:05 +0000 2017,Metropolitan Opera to investigate longtime conductor after sexual misconduct allegations https://t.co/yUkUmGQRrs https://t.co/9jEcjlZhm7,0.0,0.0,1.0,0.0
26,Sun Dec 03 03:33:04 +0000 2017,227 pounds of contraband bologna seized at U.S.-Mexico border https://t.co/EB7cxMPSPx https://t.co/1jiVT1qXw6,0.0,0.0,1.0,0.0
27,Sun Dec 03 03:22:06 +0000 2017,Federal authorities release arrest warrant for Jose Ines Garcia Zarate after San Francisco pier shooting verdict… https://t.co/1z1UFL50YG,0.0,0.13,0.87,-0.34
28,Sun Dec 03 03:10:06 +0000 2017,Thousands protest in Utah against Trump's monument reduction plan https://t.co/xRrC8sonTA https://t.co/Qfp2IzNXSR,0.0,0.167,0.833,-0.25
29,Sun Dec 03 03:03:05 +0000 2017,Aspiring NYC model found slain in Jamaica https://t.co/iii4clU0wT https://t.co/wO11iijyrQ,0.0,0.0,1.0,0.0
30,Sun Dec 03 02:48:05 +0000 2017,"Family of Florida runaway says they ""wonder"" if teen was leading secret life https://t.co/wDO6LG0Eq6 https://t.co/vJekbGlrwn",0.0,0.0,1.0,0.0
31,Sun Dec 03 02:33:06 +0000 2017,First baby born from a uterus transplant in the U.S. delivered in Texas https://t.co/xSr9B9ePPi https://t.co/6UJqectyqE,0.0,0.0,1.0,0.0
32,Sun Dec 03 02:22:06 +0000 2017,Tax reform bill: What's in the final version passed by the Senate? https://t.co/S2MxD74EPz https://t.co/kLFbf00qx2,0.0,0.0,1.0,0.0
