,Date,Text,Positive,Negative,Neutral,Compound
0,Sat Dec 02 20:37:55 +0000 2017,"RT @brianstelter: Sunday’s @ReliableSources lineup: @SarahLEllison, @MarisaGuthrie, @Hadas_Gold, @OliverDarcy, @AprilDRyan, @Greenfield64,…",0.0,0.0,1.0,0.0
1,Sat Dec 02 20:11:58 +0000 2017,Patrick Healy says Trump's latest tweet “has created a problem with a lot of questions... On Feb 13 Michael Flynn r… https://t.co/wL2HrmIE7e,0.088,0.119,0.793,-0.1779
2,Sat Dec 02 20:10:14 +0000 2017,"Ex-Ethics Dir. Walter Shaub reacts to Trump's latest tweet: ""The President has just damaged his credibility signifi… https://t.co/6yAo2oep87",0.0,0.146,0.854,-0.4404
3,Sat Dec 02 19:01:27 +0000 2017,RT @CNN: Two Russian lawmakers dismiss Michael Flynn's guilty plea https://t.co/x1hZJ2yt53 https://t.co/NFKqWYFH7n,0.0,0.203,0.797,-0.4215
4,Sat Dec 02 18:25:09 +0000 2017,"Attorney Mark O'Mara defends the Kate Steinle verdict, says it's ""horribly improper"" for any politician to attack t… https://t.co/I5MOKJyD3k",0.066,0.27,0.664,-0.7096
5,Sat Dec 02 17:01:12 +0000 2017,RT @CNN: CNN’s David Axelrod sits down with Academy Award-winning actor Tom Hanks. The Axe Files with David Axelrod airs Saturday at 7 p.m.…,0.0,0.06,0.94,-0.1027
6,Sat Dec 02 14:55:33 +0000 2017,"RT @CNNPolitics: President Trump praises the passage of the Senate tax bill and looks ahead to conference committee: ""Something beautiful i…",0.278,0.0,0.722,0.8074
7,Sat Dec 02 14:51:32 +0000 2017,"Attorney Mark O'Mara: ""Horribly improper"" for any politician to attack the US Criminal Justice system https://t.co/afKcttjLa0",0.134,0.391,0.474,-0.7579
8,Sat Dec 02 14:46:37 +0000 2017,"Criminal Defense Attorney Mark O'Mara defends the Kate Steinle verdict: ""We do not treat people differently once th… https://t.co/6EBoSNL90g",0.13,0.238,0.631,-0.5511
9,Sat Dec 02 14:38:05 +0000 2017,"Economist Arthur Laffer: The CBO is ""wrong,"" the Senate tax bill ""will spur economic growth"" and will not add $1.4… https://t.co/QaFfa7wFv2",0.115,0.0,0.885,0.3818
10,Sat Dec 02 14:17:26 +0000 2017,RT @mkraju: Trump responds to Flynn pleading guilty re lying about his conversations with Russians and being directed to do so by transitio…,0.0,0.228,0.772,-0.7351
11,Sat Dec 02 14:10:16 +0000 2017,"Former federal prosecutor John Brownlee: Michael Flynn's credibility as a witness ""has been significantly damaged b… https://t.co/oRRBYkAflg",0.0,0.162,0.838,-0.4404
12,Sat Dec 02 14:00:10 +0000 2017,The first time these mothers see their sons' bodies up close after officer-involved shootings isn't in a hospital o… https://t.co/4nwQcloTEg,0.0,0.0,1.0,0.0
13,Sat Dec 02 13:03:30 +0000 2017,RT @CNNPolitics: How President Trump has disparaged the Russia investigation https://t.co/EB8nfTLqw5 https://t.co/1DsEvMwAxU,0.0,0.179,0.821,-0.34
14,Fri Dec 01 21:22:18 +0000 2017,“What we are seeing is the degree to which the Russians had the Trump people in their pocket” - Carl Bernstein… https://t.co/mQDLK3ImVZ,0.0,0.0,1.0,0.0
15,Fri Dec 01 20:32:11 +0000 2017,Michael Flynn pleads guilty to lying to FBI and is now cooperating in probe. What exactly did he lie about? CNN’s… https://t.co/oAjTBmDlXI,0.0,0.237,0.763,-0.7351
16,Fri Dec 01 19:03:49 +0000 2017,RT @CNN: German police defuse device near Christmas market outside Berlin https://t.co/1VmCuGDJBu https://t.co/HxBFrZlIld,0.0,0.0,1.0,0.0
17,Fri Dec 01 18:55:17 +0000 2017,"RT @CNNPolitics: GOP Sen. John Hoeven on the tax bill: ""We do hope to finish the bill tonight"" https://t.co/u4C0cjuEwl",0.139,0.0,0.861,0.4404
18,Fri Dec 01 18:31:02 +0000 2017,"CNN's @jimsciutto ""In your view has the President lied about what communications his team had with Russia?""

Rep. A… https://t.co/DsDMgbNWyG",0.0,0.12,0.88,-0.3818
19,Fri Dec 01 18:20:13 +0000 2017,"Rep. Adam Schiff calls Flynn's guilty plea ""breathtaking,"" says this is ""the chief adviser to the President in term… https://t.co/nDm0jzAvx9",0.0,0.128,0.872,-0.4215
20,Sat Dec 02 20:37:55 +0000 2017,"RT @brianstelter: Sunday’s @ReliableSources lineup: @SarahLEllison, @MarisaGuthrie, @Hadas_Gold, @OliverDarcy, @AprilDRyan, @Greenfield64,…",0.0,0.0,1.0,0.0
21,Sat Dec 02 20:11:58 +0000 2017,Patrick Healy says Trump's latest tweet “has created a problem with a lot of questions... On Feb 13 Michael Flynn r… https://t.co/wL2HrmIE7e,0.088,0.119,0.793,-0.1779
22,Sat Dec 02 20:10:14 +0000 2017,"Ex-Ethics Dir. Walter Shaub reacts to Trump's latest tweet: ""The President has just damaged his credibility signifi… https://t.co/6yAo2oep87",0.0,0.146,0.854,-0.4404
23,Sat Dec 02 19:01:27 +0000 2017,RT @CNN: Two Russian lawmakers dismiss Michael Flynn's guilty plea https://t.co/x1hZJ2yt53 https://t.co/NFKqWYFH7n,0.0,0.203,0.797,-0.4215
24,Sat Dec 02 18:25:09 +0000 2017,"Attorney Mark O'Mara defends the Kate Steinle verdict, says it's ""horribly improper"" for any politician to attack t… https://t.co/I5MOKJyD3k",0.066,0.27,0.664,-0.7096
25,Sat Dec 02 17:01:12 +0000 2017,RT @CNN: CNN’s David Axelrod sits down with Academy Award-winning actor Tom Hanks. The Axe Files with David Axelrod airs Saturday at 7 p.m.…,0.0,0.06,0.94,-0.1027
26,Sat Dec 02 14:55:33 +0000 2017,"RT @CNNPolitics: President Trump praises the passage of the Senate tax bill and looks ahead to conference committee: ""Something beautiful i…",0.278,0.0,0.722,0.8074
27,Sat Dec 02 14:51:32 +0000 2017,"Attorney Mark O'Mara: ""Horribly improper"" for any politician to attack the US Criminal Justice system https://t.co/afKcttjLa0",0.134,0.391,0.474,-0.7579
28,Sat Dec 02 14:46:37 +0000 2017,"Criminal Defense Attorney Mark O'Mara defends the Kate Steinle verdict: ""We do not treat people differently once th… https://t.co/6EBoSNL90g",0.13,0.238,0.631,-0.5511
