,Date,Text,Positive,Negative,Neutral,Compound
0,Sun Dec 03 04:32:03 +0000 2017,".@POTUS: ""What has been shown is no collusion. No collusion. There's been absolutely no collusion so we're very hap… https://t.co/WblIzPc6ed",0.0,0.28,0.72,-0.6808
1,Sun Dec 03 04:28:05 +0000 2017,".@SecAFOfficial: ""We are low on readiness... We need to restore the readiness of the Force so we can win any fight."" https://t.co/7Mu7RFiHBU",0.291,0.074,0.635,0.7322
2,Sun Dec 03 04:25:01 +0000 2017,"Earlier today, President @realDonaldTrump tweeted about firing General Mike Flynn, and claimed his former National… https://t.co/XbkKsCr7KL",0.0,0.138,0.862,-0.34
3,Sun Dec 03 04:15:06 +0000 2017,"On @ffweekend, @SheriffClarke slammed the not guilty verdict for Jose Ines Garcia Zarate, the illegal immigrant who… https://t.co/bJaejVzRhZ",0.104,0.225,0.67,-0.4043
4,Sun Dec 03 04:15:03 +0000 2017,".@SheriffClarke: ""Build the damn wall... If you do not build the wall as President Trump wants, these guys are just… https://t.co/JY3o6b9eSQ",0.0,0.119,0.881,-0.4019
5,Sun Dec 03 04:14:03 +0000 2017,"On ""The Cost of Freedom,"" Florida @AGPamBondi reflected on what will happen next with the illegal immigrant who kil… https://t.co/x2WOck8KGg",0.0,0.159,0.841,-0.5574
6,Sun Dec 03 04:07:02 +0000 2017,"Jamiel Shaw Sr.: ""My son was murdered... He was shot dead by an illegal alien on his third gun charge."" https://t.co/d3mvqHvzRR",0.0,0.364,0.636,-0.8834
7,Sun Dec 03 04:01:01 +0000 2017,"This morning, @PeteHegseth discussed the sanctuary city debate in light of the not guilty verdict in the Kate Stein… https://t.co/Nh1G6vW3Vd",0.107,0.066,0.827,0.2235
8,Sun Dec 03 03:59:57 +0000 2017,FBI official's role in Clinton email investigation under review https://t.co/y8DtjfL8DD,0.0,0.0,1.0,0.0
9,Sun Dec 03 03:50:05 +0000 2017,".@CortesSteve: ""We need to keep deporting and particularly dangerous people but we also need a wall. We need border… https://t.co/oWcgWWVZwF",0.0,0.109,0.891,-0.2952
10,Sun Dec 03 03:43:35 +0000 2017,"RT @EricShawnTV: #MichaelFlynn calls #Russian Amb. #Kislyak on #Israel, to stop Pres. @POTUS44 abstention on #Israel at the #UN. Did he bre…",0.0,0.095,0.905,-0.296
11,Sun Dec 03 03:39:04 +0000 2017,"Last night, @SenSanders slammed the tax reform bill that passed the Senate. https://t.co/yPerz6qC85 https://t.co/jothyy06bc",0.0,0.0,1.0,0.0
12,Sun Dec 03 03:37:59 +0000 2017,Navy disciplines aviators over lewd images in the sky https://t.co/i2ZJQPdiVq,0.0,0.0,1.0,0.0
13,Sun Dec 03 03:30:03 +0000 2017,".@RepGaramendi: ""After you vote for it, to say, 'Well, I think we'd better read it and understand what's in it' - t… https://t.co/ZN2lrzfPvr",0.127,0.0,0.873,0.4404
14,Sun Dec 03 03:23:02 +0000 2017,"Trump compares Flynn to Hillary, asks 'rigged system' or 'double standard?' https://t.co/KLKXFGqVAC",0.0,0.185,0.815,-0.3612
15,Sun Dec 03 03:17:02 +0000 2017,"On ""The Cost of Freedom,"" @RepDeSantis gave his take on allegations against the Trump campaign for colluding with R… https://t.co/s6mygQKvl1",0.0,0.104,0.896,-0.296
16,Sun Dec 03 03:16:01 +0000 2017,"On @ffweekend, @SheriffClarke gave his take on the @NFL's reported plan to donate nearly $100 million to ""social ju… https://t.co/8f6sJw2ZTL",0.0,0.0,1.0,0.0
17,Sun Dec 03 03:14:08 +0000 2017,".@dbongino on Michael Flynn: ""It's only Republicans who get arrested [for fibbing] while the Democrats get away wit… https://t.co/gGze58Ej2L",0.0,0.147,0.853,-0.4767
