,Date,Text,Positive,Negative,Neutral,Compound
0,Sun Dec 03 04:24:07 +0000 2017,"What share of people would actually get a tax cut? Here's an answer for the rich, middle class and poor. https://t.co/0RQLtZe4Mm",0.215,0.193,0.593,0.1531
1,Sun Dec 03 04:11:03 +0000 2017,"""But justice roll down like waters and righteousness like an ever-flowing stream."" Did James Comey subtweet Michael… https://t.co/jOdxh0DaaM",0.359,0.0,0.641,0.8126
2,Sun Dec 03 04:00:34 +0000 2017,"Jay-Z discussed marriage in an interview with our executive editor Dean Baquet: ""Most people walk away.""… https://t.co/3ZInnoxgOH",0.0,0.0,1.0,0.0
3,Sun Dec 03 03:48:06 +0000 2017,"Pope Francis: ""We won’t close our hearts or look away. The presence of God today is also called Rohingya."" https://t.co/d1bWPNt49T",0.1,0.0,0.9,0.2732
4,Sun Dec 03 03:35:05 +0000 2017,"RT @NYTSports: Georgia made a convincing case for the College Football Playoff with a battering of Auburn, 28-7. https://t.co/jGXnDgbVae",0.144,0.0,0.856,0.4019
5,Sun Dec 03 03:25:05 +0000 2017,"Brock Turner, the former Stanford University student who was found guilty of sexually assaulting an unconscious wom… https://t.co/Nj3wTXVpk3",0.0,0.276,0.724,-0.7269
6,Sun Dec 03 03:12:04 +0000 2017,The Walt Disney Company is said to have resumed talks with 21st Century Fox about buying at least part of the compa… https://t.co/iwVERWFPli,0.0,0.0,1.0,0.0
7,Sun Dec 03 03:00:12 +0000 2017,The Senate voted 51-49 to pass the Republican tax bill. See how every senator voted. https://t.co/YpRuENdOI7,0.0,0.0,1.0,0.0
8,Sun Dec 03 02:50:03 +0000 2017,Want to share a confidential news tip with The New York Times? These tools can help protect your anonymity: https://t.co/0wYSROQhTO,0.37,0.0,0.63,0.7783
9,Sun Dec 03 02:37:51 +0000 2017,"Met Opera officials acknowledged they had been aware of the police report since 2016, but said that Levine had deni… https://t.co/oRBwruRY4W",0.0,0.0,1.0,0.0
10,Sun Dec 03 02:32:11 +0000 2017,"Simple, elegant and destined to become one of your favorite weeknight dishes https://t.co/5CdshurwrQ",0.357,0.0,0.643,0.7269
11,Sun Dec 03 02:14:57 +0000 2017,Reporter’s Notebook: Pope Defends His Myanmar Diplomacy: ‘I Did Not Negotiate With the Truth’ https://t.co/ks1iLKN5uH,0.0,0.0,1.0,0.0
12,Sun Dec 03 02:00:09 +0000 2017,"President Trump tweeted that he fired Michael Flynn “because he lied to the vice president and the FBI"" https://t.co/1JLCVIJwOU",0.0,0.267,0.733,-0.7351
13,Sun Dec 03 01:36:04 +0000 2017,"Senators received the nearly 500-page tax bill containing major changes hours before the vote, prompting anger from… https://t.co/eG17HzqD3S",0.0,0.179,0.821,-0.5719
14,Sun Dec 03 01:30:02 +0000 2017,Met Opera to Investigate James Levine Over Sexual Abuse Accusation https://t.co/U9CL60tTn4,0.0,0.408,0.592,-0.7351
15,Sun Dec 03 01:16:46 +0000 2017,"Tax Bill Offers Last-Minute Breaks for Developers, Banks and Oil Industry https://t.co/hWyDLgB9ah",0.0,0.0,1.0,0.0
16,Sun Dec 03 01:09:58 +0000 2017,"Elon Musk has turned on the world's biggest battery, capable of powering 30,000 homes in South Australia https://t.co/WNf2UwTliJ",0.133,0.0,0.867,0.3818
17,Sun Dec 03 00:48:31 +0000 2017,Opinion: The Starving Lands https://t.co/g2zzoVov88,0.0,0.412,0.588,-0.4215
18,Sun Dec 03 00:44:42 +0000 2017,"Prince Harry designed the engagement ring which includes two diamonds from his mother, Princess Diana https://t.co/0jSPpAcS6u",0.167,0.0,0.833,0.4588
19,Sun Dec 03 00:27:38 +0000 2017,Updated timeline: What we now know about Michael Flynn’s phone calls with Russia https://t.co/NZj8OIEFBe,0.0,0.0,1.0,0.0
20,Sun Dec 03 04:24:07 +0000 2017,"What share of people would actually get a tax cut? Here's an answer for the rich, middle class and poor. https://t.co/0RQLtZe4Mm",0.215,0.193,0.593,0.1531
21,Sun Dec 03 04:11:03 +0000 2017,"""But justice roll down like waters and righteousness like an ever-flowing stream."" Did James Comey subtweet Michael… https://t.co/jOdxh0DaaM",0.359,0.0,0.641,0.8126
22,Sun Dec 03 04:00:34 +0000 2017,"Jay-Z discussed marriage in an interview with our executive editor Dean Baquet: ""Most people walk away.""… https://t.co/3ZInnoxgOH",0.0,0.0,1.0,0.0
23,Sun Dec 03 03:48:06 +0000 2017,"Pope Francis: ""We won’t close our hearts or look away. The presence of God today is also called Rohingya."" https://t.co/d1bWPNt49T",0.1,0.0,0.9,0.2732
